Race,GPA,SAT-Score,Extra-Curriculars,Legacy-Status,Admitted
White,3.5429395922386004,1567,1,0,1
Black,3.9222512425121723,1579,0,0,1
White,2.6835962576984542,1147,3,0,1
White,3.152056723288179,1349,3,0,1
White,3.3221522678967323,1303,2,0,1
Hispanic,3.1188116463452977,1413,0,0,1
Black,2.8107035823088733,1172,1,0,0
White,2.6398946118610302,1166,2,0,0
White,3.571208115403897,1532,1,0,1
Black,3.431158820284499,1366,1,0,1
White,3.6936805797767303,1600,2,0,1
Hispanic,2.8388603733233913,1207,2,0,0
White,2.9813531840430643,1290,0,0,1
White,3.8956622535447636,1488,2,0,1
Hispanic,3.565211513347067,1549,2,0,1
White,3.5146488055108573,1511,1,0,1
White,3.450710077329016,1409,3,0,1
White,2.4240276006815087,1115,2,0,0
White,3.6614731107653062,1595,4,0,1
Hispanic,2.5157642105334936,1188,1,0,0
Hispanic,2.9305740050215103,1305,3,1,1
Asian,3.3281157332561326,1460,0,0,1
White,3.275620191453448,1417,2,0,1
Asian,3.024208824138756,1320,0,0,1
White,3.1906072301534127,1372,1,0,1
Black,3.158307983959998,1200,1,0,1
White,3.418957587620942,1370,2,0,1
Hispanic,3.391422596011907,1187,4,0,1
White,3.2668311627708544,1437,3,0,1
White,3.3855697743181716,1369,2,0,1
White,3.3090488125322692,1481,1,0,1
White,3.321437227419429,1251,3,0,1
White,3.3816717417243733,1358,0,0,1
Black,3.1426264363684586,1305,1,0,1
Asian,3.151170304496127,1411,3,0,1
Hispanic,3.609002013178838,1510,3,0,1
Hispanic,2.9484887727905393,1391,1,0,0
White,2.750392769731925,1296,5,0,1
White,3.4260870388385887,1316,5,0,1
White,3.3979041581802494,1581,4,1,1
Asian,3.6398754459628533,1600,4,0,1
White,3.2326920439413054,1429,2,0,1
Hispanic,3.289523743618495,1377,3,0,1
Black,3.099342074542006,1250,4,0,1
Black,2.6147938498370262,979,3,0,0
White,3.1222776896777407,1222,3,1,1
Hispanic,3.519642839387965,1257,0,0,1
White,3.286422662931075,1409,1,1,1
White,3.5999240624117967,1600,3,0,1
Asian,3.4546288025615124,1481,3,0,1
Black,3.141787200325338,1341,2,0,0
White,4.0,1571,1,1,1
White,3.8512450650196586,1600,2,0,1
White,3.0388975420185473,1292,1,1,1
Black,3.1715934300261575,1426,4,0,1
White,3.8067893334714893,1538,4,0,1
Black,3.9917619233838417,1600,1,0,1
Black,3.920407726213462,1471,0,0,1
Black,2.712167257089608,1264,3,0,0
White,3.3910034302503775,1474,0,0,1
White,3.858779998495627,1557,3,0,1
White,3.2162021705728203,1426,1,0,1
Hispanic,3.869446034034169,1505,1,0,1
White,3.2108450463000433,1357,4,0,1
Black,3.428056750425638,1457,2,0,1
White,3.0364913130940128,1431,2,0,1
White,3.039983034060395,1295,2,0,1
White,2.9431173581398116,1319,1,0,1
White,3.221161185355527,1372,2,0,1
White,2.899489789132135,1117,1,0,0
White,3.788245914277155,1560,1,0,1
White,3.089464336443406,1325,1,0,1
Black,3.3389874040409557,1435,3,0,1
Black,3.112802298065218,1346,0,0,0
Black,3.7146471699540076,1572,2,0,1
White,3.2897204241796505,1276,3,0,1
Asian,3.5091016257165575,1337,3,0,1
White,3.312160749710845,1309,1,0,1
Hispanic,3.775625338881562,1494,2,0,1
White,3.1757500784766575,1349,2,0,1
White,2.497539858581301,1306,3,0,1
Asian,3.3756264431384286,1424,2,1,1
Asian,3.326236518518607,1292,4,0,1
White,3.1159796245750018,1302,3,0,1
White,3.0793831670629555,1365,2,0,1
White,3.205511113865853,1373,3,0,1
White,3.2479621657504363,1323,3,0,1
White,3.5943524918184724,1467,2,0,1
White,3.1151568795102476,1365,4,0,1
Black,3.5348023290702155,1455,5,0,1
Hispanic,2.4824560872390995,1283,2,0,0
Hispanic,3.3197962452205125,1447,1,0,1
Asian,2.611265410765114,1192,1,0,0
Black,3.5125484760701995,1554,4,0,1
White,4.0,1600,3,0,1
White,2.7568871845635603,1265,0,0,0
Hispanic,3.796401250245311,1537,2,0,1
White,2.9090066070003058,1219,1,0,1
White,3.192469726273058,1374,1,0,1
Black,3.5464326424324835,1449,2,0,1
White,2.8769403759773553,1311,1,0,1
White,3.2420468418838917,1275,3,0,1
White,2.7847402865859365,1185,0,0,0
White,3.642440500784709,1433,2,0,1
Black,3.077209458289964,1315,4,0,1
Black,3.012088275174958,1187,2,0,0
Asian,3.045356087880256,1352,2,0,1
Black,2.841770005139668,1217,2,0,0
White,3.125553223696007,1370,1,0,1
Hispanic,2.399053722082438,977,0,0,0
White,3.953888695856528,1509,0,0,1
Hispanic,3.4927934495393176,1549,4,0,1
Asian,3.2153446175014118,1347,1,0,1
Hispanic,2.562459229959292,1322,4,0,0
White,3.423432508499351,1330,1,0,1
White,3.331995881395254,1402,1,0,1
White,2.802604411773889,1153,1,0,1
Black,3.2157298258792752,1358,3,0,1
White,3.09784691623537,1086,1,0,1
White,2.1047234896139715,1098,0,0,0
Black,3.264321621944812,1429,2,0,1
White,3.502767582186901,1556,1,0,1
Black,2.726071374540312,1263,3,0,0
White,3.0364664475329595,1337,5,0,1
White,3.2235760636747304,1312,7,0,1
White,2.8778888977265487,1183,0,0,0
Asian,3.276107987139801,1188,1,0,1
Black,3.528378949366213,1586,1,0,1
White,3.1894191688916704,1268,1,0,1
White,3.1271889320731177,1308,3,0,1
White,2.820320464995026,1183,3,0,0
Black,3.0769563964718523,1397,1,0,1
Hispanic,2.9392067758644753,1275,1,0,1
White,3.9532249554459415,1545,2,0,1
White,3.429889179908824,1494,3,0,1
Black,3.7970113465832007,1524,4,0,1
White,3.7676828373037736,1600,2,0,1
White,2.6986238183975457,1256,2,0,1
Hispanic,3.9187492555274526,1549,3,1,1
White,3.1634922298853065,1314,3,0,1
White,3.412050950401081,1427,1,1,1
White,2.952927531943626,1220,2,0,1
