Gender,Performance-Rating,Years-At-Company,Training-Hours,Promoted
Female,2,7,17,0
Male,3,8,53,1
Female,3,8,54,1
Male,3,9,40,0
Male,4,6,46,1
Female,3,13,33,1
Male,5,12,25,1
Male,3,10,47,1
Female,3,3,46,0
Female,3,5,57,1
Female,2,6,60,0
Male,3,11,67,1
Male,2,5,68,0
Male,4,11,45,1
Male,2,6,30,0
Female,3,12,36,1
Female,3,3,10,0
Female,3,8,22,0
Female,4,2,37,0
Male,3,7,46,0
Female,1,6,55,0
Male,5,3,26,1
Male,5,14,40,1
Female,3,11,50,1
Male,3,10,46,1
Female,2,6,45,0
Female,3,14,46,1
Male,2,4,19,0
Female,3,12,49,1
Male,2,7,53,0
Male,4,11,57,1
Male,5,7,46,1
Male,3,3,30,0
Male,2,1,33,0
Female,3,11,63,1
Female,4,2,36,0
Female,2,9,40,0
Male,2,14,38,1
Female,3,7,36,0
Male,5,1,50,0
Female,4,7,49,1
Male,4,1,60,1
Female,1,1,38,0
Female,3,3,51,1
Female,3,6,34,0
Female,3,5,37,1
Female,2,11,37,0
Female,5,9,41,1
Female,3,11,66,1
Male,3,4,53,0
Male,2,1,48,0
Male,3,7,24,0
Male,4,1,46,0
Male,3,7,60,1
Female,4,7,43,1
Male,2,4,54,0
Female,2,5,26,0
Male,4,3,63,1
Male,3,8,26,0
Male,3,2,45,0
Male,4,12,37,1
Male,3,4,38,0
Male,4,2,47,1
Female,3,9,60,1
Male,2,1,70,0
Female,4,12,26,1
Male,2,5,43,0
Female,5,1,72,1
Female,3,3,39,0
Male,2,13,24,1
Female,2,6,32,0
Female,2,1,33,0
Male,4,8,52,1
Male,2,7,52,0
Female,1,8,44,0
Female,2,7,47,0
Female,5,5,48,1
Female,4,10,52,1
Female,3,4,46,0
Female,5,6,22,1
Female,4,1,47,1
Male,2,6,56,0
Male,3,7,37,1
Female,4,7,48,1
Male,2,9,75,0
Male,3,7,39,0
Male,4,5,41,1
Female,4,7,39,1
Male,3,4,53,0
Male,3,12,34,1
Female,3,13,19,1
Female,4,9,21,1
Male,3,12,37,1
Female,3,1,56,0
Male,3,3,39,0
Female,2,3,42,0
Male,3,13,43,1
Female,4,7,33,1
Female,5,2,53,1
Female,5,11,46,1
Male,5,1,38,1
Male,2,12,37,0
Female,4,14,38,1
Male,3,8,54,1
Male,2,2,45,0
Male,1,5,31,0
Female,5,9,64,1
Male,3,2,58,0
Male,4,1,38,0
Male,5,1,44,1
Male,1,6,39,0
Male,4,10,40,1
Male,4,1,21,0
Female,4,10,22,1
Female,3,6,41,0
Female,2,5,41,0
Male,3,13,19,1
Female,3,3,46,0
Female,3,3,11,0
Male,3,8,61,1
Male,4,4,59,1
Male,3,3,54,0
Female,3,3,64,1
Male,2,1,63,0
Male,3,2,38,0
Male,3,7,53,0
Female,2,6,23,0
Male,3,11,53,1
Female,2,2,74,0
Male,3,6,44,0
Female,2,3,44,0
Male,2,4,58,0
Female,3,14,48,1
Female,2,4,22,0
Male,1,3,53,0
Female,4,8,36,1
Male,4,14,48,1
Female,3,1,29,0
Male,3,9,29,0
Female,3,10,60,1
Male,4,8,58,1
Female,5,14,53,1
Female,3,2,37,0
Male,3,1,55,0
Male,3,2,69,0
Male,2,9,15,0
Female,4,2,33,0
Male,3,8,33,1
Male,2,2,41,0
Male,4,7,59,1
Male,5,13,19,1
Female,2,10,42,0
Female,3,11,76,1
Female,5,5,51,1
Female,4,8,56,1
Male,4,7,54,1
Male,3,4,31,0
Female,4,2,42,0
Female,2,9,50,0
Male,3,9,41,0
Male,3,11,50,1
Female,3,12,40,1
Male,2,7,32,0
Female,2,3,63,0
Female,3,8,42,1
Male,3,6,43,1
Female,3,9,69,1
Female,5,10,34,1
Male,3,6,46,0
Female,3,4,43,0
Female,3,7,41,0
Female,2,1,27,0
Male,4,1,57,1
Female,2,11,49,0
Female,5,2,36,1
Male,5,12,41,1
Female,3,11,35,1
Female,3,4,40,0
Male,4,6,46,1
Female,5,1,43,1
Female,3,9,48,0
Male,3,5,59,1
Female,4,3,51,1
Male,2,7,13,0
Male,3,14,68,1
Female,3,5,38,0
Female,3,8,76,0
Female,2,3,55,0
Male,3,5,33,0
Male,3,8,45,0
Male,5,6,31,1
Male,3,7,38,0
Female,4,5,63,1
Male,3,9,43,1
Female,3,1,37,0
Male,4,8,42,1
Female,3,3,47,1
Female,4,5,51,1
Male,3,12,27,1
Male,3,4,56,1
Male,2,7,56,1
Male,4,7,54,1
Male,3,12,38,0
Female,3,11,38,1
Male,2,13,57,1
Female,4,11,26,1
Female,4,7,39,1
Male,3,7,28,1
Female,3,14,25,1
Male,2,9,24,0
Male,4,4,26,1
Male,5,13,65,1
Male,2,4,52,0
Male,2,3,53,0
Female,2,2,42,0
Female,2,7,33,0
Female,3,5,20,0
Male,3,10,43,0
Female,2,8,47,0
Female,4,8,66,1
Female,3,11,47,1
Female,3,8,44,1
Female,1,8,49,0
Male,3,4,33,0
Female,3,5,45,1
Male,3,6,56,0
Male,4,14,27,1
Female,3,14,57,1
Male,2,9,56,0
Female,3,11,43,1
Female,3,5,58,1
Female,2,6,43,0
Male,4,12,53,1
Female,2,1,62,0
Male,3,12,41,1
Female,3,2,31,0
Male,3,14,39,1
Female,5,4,30,1
Male,3,11,50,1
Male,3,5,61,0
Male,4,4,57,0
Female,3,2,42,0
Female,5,9,35,1
Male,3,3,39,1
Male,2,3,40,0
Male,2,12,35,0
Female,5,1,37,1
Male,2,6,23,0
Female,3,3,52,1
Male,3,7,32,0
Female,4,5,38,0
Male,3,10,40,0
Female,3,1,10,0
Female,3,1,64,0
Male,2,13,47,1
Female,3,2,47,0
Female,3,9,56,1
Male,3,4,37,0
Female,3,13,43,1
Female,2,13,55,0
Male,3,8,35,0
Male,3,9,54,1
Female,4,3,57,1
Female,3,12,54,1
Female,4,13,20,1
Female,3,12,19,1
Male,5,3,37,1
Female,3,8,43,1
Male,3,8,62,0
Male,1,4,48,0
Female,4,13,76,1
Male,2,11,41,0
Male,4,12,50,1
Female,3,5,46,1
Female,3,6,32,0
Female,2,2,54,0
Male,4,5,33,0
Female,4,14,54,1
Male,3,13,40,1
Female,3,10,54,1
Female,4,8,43,1
