Age,Age-Group,Housing,Job-Type,Credit-Amount,Duration-Months,Credit-Risk
56,Adult,Own,Skilled,2598,22,1
69,Adult,Own,Skilled,2289,15,1
46,Adult,Own,Management,3144,14,1
32,Adult,Own,Unskilled,3440,19,1
60,Adult,Own,Skilled,723,15,1
25,Adult,Own,Skilled,3942,24,0
38,Adult,Own,Skilled,1330,11,1
56,Adult,Own,Skilled,4254,26,0
36,Adult,Own,Skilled,5686,42,1
40,Adult,Own,Management,5388,39,1
28,Adult,Own,Unskilled,2912,29,0
28,Adult,Own,Unskilled,2702,18,1
41,Adult,Rent,Skilled,962,11,0
70,Adult,Own,Skilled,4979,24,0
53,Adult,Own,Skilled,1449,19,1
57,Adult,Own,Unskilled,2559,14,0
41,Adult,Own,Unskilled,1503,14,1
20,Young,Own,Management,931,6,1
39,Adult,Own,Unskilled,3479,21,1
70,Adult,Own,Skilled,667,5,1
19,Young,Own,Unskilled,4642,26,0
41,Adult,Own,Skilled,1646,12,0
61,Adult,Own,Unskilled,500,6,1
47,Adult,Own,Skilled,2646,22,1
55,Adult,Own,Unskilled,643,4,1
19,Young,Own,Skilled,1469,14,0
38,Adult,Own,Unskilled,4182,31,0
50,Adult,Own,Skilled,694,7,1
29,Adult,Own,Management,5985,33,0
39,Adult,Rent,Skilled,511,7,1
61,Adult,Own,Skilled,1350,17,1
42,Adult,Own,Skilled,4551,29,1
66,Adult,Rent,Skilled,1640,12,0
44,Adult,Free,Skilled,822,12,0
59,Adult,Own,Management,1839,10,1
45,Adult,Own,Skilled,1445,15,1
33,Adult,Rent,Skilled,6049,37,0
32,Adult,Rent,Skilled,1627,12,0
64,Adult,Own,Skilled,5166,28,1
68,Adult,Own,Unskilled,7173,38,1
61,Adult,Own,Skilled,2206,19,1
72,Adult,Own,Management,7721,49,1
69,Adult,Own,Unskilled,1921,13,0
74,Adult,Own,Skilled,10479,60,0
20,Young,Own,Unskilled,780,4,1
54,Adult,Rent,Skilled,3984,23,0
68,Adult,Own,Unskilled,2542,18,1
24,Young,Own,Skilled,1971,12,1
38,Adult,Rent,Skilled,3504,19,1
26,Adult,Rent,Skilled,4150,24,0
56,Adult,Own,Skilled,513,9,1
35,Adult,Own,Skilled,1047,10,1
21,Young,Own,Management,4245,18,1
42,Adult,Own,Unskilled,3793,16,1
31,Adult,Own,Skilled,10648,56,0
67,Adult,Own,Unskilled,4794,31,0
26,Adult,Own,Management,9533,42,0
43,Adult,Own,Management,4137,24,1
70,Adult,Own,Skilled,1561,11,0
19,Young,Own,Skilled,834,15,1
37,Adult,Own,Skilled,5067,29,1
45,Adult,Own,Skilled,3599,25,1
64,Adult,Own,Unskilled,648,9,1
24,Young,Rent,Skilled,1839,6,1
61,Adult,Own,Unskilled,9925,58,0
25,Adult,Own,Skilled,2581,19,0
64,Adult,Rent,Skilled,2200,19,0
52,Adult,Own,Skilled,2335,33,1
31,Adult,Own,Unskilled,1202,4,1
34,Adult,Own,Skilled,1879,22,1
53,Adult,Own,Skilled,1885,14,1
67,Adult,Rent,Skilled,661,10,1
57,Adult,Own,Unskilled,4877,30,0
21,Young,Own,Management,2116,14,1
19,Young,Own,Skilled,5680,32,1
23,Young,Own,Skilled,6198,38,0
71,Adult,Own,Skilled,1214,6,1
59,Adult,Own,Skilled,3713,27,1
21,Young,Own,Skilled,2417,16,1
71,Adult,Free,Skilled,6864,35,0
46,Adult,Own,Management,1229,10,1
35,Adult,Own,Skilled,3897,30,0
43,Adult,Own,Management,3307,20,0
61,Adult,Own,Management,1549,15,1
51,Adult,Own,Unskilled,940,7,1
27,Adult,Own,Management,3663,27,0
