Race,Age,Prior-Convictions,Charge-Degree,High-Risk
Other,43,1,Misdemeanor,0
White,44,1,Felony,0
White,23,1,Misdemeanor,0
White,43,2,Misdemeanor,1
White,38,1,Misdemeanor,0
White,26,1,Felony,1
White,40,2,Misdemeanor,0
White,23,3,Misdemeanor,0
White,48,3,Misdemeanor,0
Black,20,3,Misdemeanor,1
Black,53,3,Felony,1
Black,62,1,Misdemeanor,1
Other,64,1,Misdemeanor,0
White,62,2,Felony,1
Black,37,1,Misdemeanor,1
White,49,1,Felony,0
Other,28,0,Misdemeanor,0
Black,40,1,Felony,1
White,24,1,Misdemeanor,0
White,35,1,Misdemeanor,0
White,34,4,Felony,1
White,21,1,Misdemeanor,1
White,31,1,Misdemeanor,0
White,54,1,Misdemeanor,0
White,41,2,Misdemeanor,0
White,63,3,Misdemeanor,0
Black,32,1,Felony,1
White,37,3,Misdemeanor,0
Other,49,1,Misdemeanor,0
White,26,0,Misdemeanor,0
Black,28,1,Felony,1
White,47,0,Misdemeanor,0
Black,63,1,Felony,0
White,57,1,Felony,0
Black,25,2,Misdemeanor,1
White,37,1,Misdemeanor,0
White,33,3,Felony,1
Black,31,2,Felony,1
White,20,2,Misdemeanor,1
White,52,0,Misdemeanor,0
Black,53,0,Misdemeanor,0
White,64,0,Felony,0
Black,58,0,Misdemeanor,0
White,19,1,Misdemeanor,1
White,59,0,Misdemeanor,0
Black,34,2,Felony,1
Black,46,1,Misdemeanor,0
White,19,0,Misdemeanor,0
Black,30,1,Felony,1
White,57,2,Misdemeanor,0
White,54,0,Felony,0
White,63,1,Misdemeanor,0
Other,62,1,Misdemeanor,0
Black,33,2,Misdemeanor,1
White,63,2,Misdemeanor,0
White,41,0,Misdemeanor,0
Other,33,2,Misdemeanor,1
Black,53,2,Misdemeanor,0
White,52,1,Felony,1
White,36,0,Misdemeanor,0
White,43,0,Felony,0
White,24,4,Misdemeanor,1
White,34,0,Felony,0
Black,20,2,Misdemeanor,1
Black,37,2,Felony,1
White,49,0,Misdemeanor,0
White,18,3,Misdemeanor,1
White,21,1,Misdemeanor,0
White,31,1,Felony,0
White,45,4,Felony,1
White,37,1,Felony,0
Other,24,1,Felony,0
Black,43,2,Misdemeanor,1
White,47,0,Misdemeanor,0
White,19,0,Misdemeanor,0
Black,53,3,Misdemeanor,1
Other,49,1,Misdemeanor,0
Black,40,0,Misdemeanor,0
White,33,0,Misdemeanor,1
White,53,1,Misdemeanor,1
White,21,1,Misdemeanor,1
White,44,0,Misdemeanor,0
Black,61,1,Felony,1
Black,53,2,Felony,1
Other,59,3,Felony,1
Black,44,0,Misdemeanor,0
Other,45,2,Felony,1
Black,44,1,Misdemeanor,1
White,51,2,Misdemeanor,0
Other,26,0,Misdemeanor,0
Black,60,2,Felony,1
White,33,2,Misdemeanor,0
Black,32,4,Felony,1
Black,41,1,Misdemeanor,1
White,59,2,Misdemeanor,0
Other,29,1,Felony,1
Black,43,1,Misdemeanor,1
White,35,2,Misdemeanor,0
Black,29,3,Misdemeanor,1
Black,29,1,Misdemeanor,1
White,41,1,Misdemeanor,0
White,45,3,Felony,1
Black,44,2,Misdemeanor,1
Black,53,0,Felony,1
White,18,1,Felony,1
White,48,5,Felony,1
Other,34,2,Misdemeanor,1
White,44,1,Felony,0
White,41,1,Misdemeanor,1
White,35,3,Misdemeanor,1
Other,38,3,Misdemeanor,0
White,42,3,Felony,1
White,52,2,Felony,1
White,47,3,Misdemeanor,1
White,43,1,Misdemeanor,0
White,22,2,Misdemeanor,1
White,20,1,Misdemeanor,0
White,25,3,Felony,1
White,53,2,Misdemeanor,0
White,23,2,Misdemeanor,1
White,57,1,Misdemeanor,0
White,49,2,Felony,0
White,58,0,Felony,0
White,56,1,Misdemeanor,0
Black,53,1,Misdemeanor,0
Black,36,1,Misdemeanor,1
Other,27,1,Felony,1
White,46,1,Misdemeanor,0
White,24,1,Felony,1
White,44,1,Misdemeanor,0
Other,54,2,Felony,1
Black,48,1,Felony,1
Black,26,4,Felony,1
Black,33,1,Felony,1
Black,54,1,Misdemeanor,0
White,22,1,Misdemeanor,0
White,42,2,Misdemeanor,0
White,41,0,Felony,0
White,41,1,Misdemeanor,1
Black,23,1,Felony,1
White,48,1,Felony,0
Black,20,1,Felony,1
Black,25,0,Felony,1
Other,52,1,Felony,0
Black,49,0,Misdemeanor,0
White,59,0,Felony,0
White,51,5,Misdemeanor,1
White,41,0,Felony,0
White,21,2,Misdemeanor,0
Black,55,1,Felony,0
White,39,2,Felony,1
White,24,3,Felony,1
White,63,1,Misdemeanor,0
Black,41,0,Felony,1
White,49,1,Felony,0
Black,21,0,Felony,1
White,18,1,Misdemeanor,0
Black,28,2,Felony,1
Black,31,4,Misdemeanor,1
White,44,1,Misdemeanor,0
Black,28,2,Felony,1
White,55,0,Felony,0
White,51,0,Misdemeanor,0
White,47,3,Misdemeanor,0
White,24,2,Misdemeanor,1
Other,42,0,Misdemeanor,1
White,19,0,Misdemeanor,1
Other,30,0,Felony,0
White,40,0,Misdemeanor,0
White,38,2,Felony,1
White,28,1,Felony,0
Black,39,1,Misdemeanor,0
White,46,1,Misdemeanor,0
White,50,1,Misdemeanor,0
Other,46,2,Felony,0
White,53,2,Misdemeanor,0
White,63,1,Misdemeanor,0
Black,20,1,Misdemeanor,1
Black,19,2,Misdemeanor,1
Black,38,0,Misdemeanor,0
Other,48,2,Misdemeanor,1
White,57,1,Misdemeanor,0
White,50,1,Misdemeanor,0
White,30,3,Felony,1
Other,60,0,Felony,0
Other,53,1,Misdemeanor,0
White,54,2,Felony,1
Black,23,0,Misdemeanor,1
White,20,0,Felony,1
Other,50,1,Misdemeanor,0
White,35,4,Misdemeanor,1
White,43,1,Misdemeanor,0
White,48,1,Misdemeanor,0
Black,64,0,Misdemeanor,0
Black,47,3,Misdemeanor,1
White,41,2,Felony,0
White,44,1,Felony,1
Other,20,1,Misdemeanor,0
White,51,1,Misdemeanor,0
Black,37,0,Misdemeanor,1
Black,53,2,Misdemeanor,1
Black,51,1,Misdemeanor,0
Black,43,0,Felony,0
Other,43,3,Felony,1
Black,34,1,Felony,1
Black,22,5,Felony,1
Black,59,4,Misdemeanor,1
White,56,2,Misdemeanor,0
White,61,2,Misdemeanor,0
Black,42,2,Felony,0
Black,19,3,Felony,1
White,40,2,Felony,0
White,56,2,Misdemeanor,0
White,25,1,Misdemeanor,1
White,55,4,Misdemeanor,0
White,41,1,Felony,1
Black,33,1,Felony,1
Black,54,2,Misdemeanor,0
Other,39,0,Misdemeanor,0
Black,28,3,Misdemeanor,1
White,26,1,Misdemeanor,0
Black,48,3,Felony,1
Black,36,2,Misdemeanor,1
Black,60,0,Misdemeanor,0
White,61,3,Misdemeanor,0
Other,47,1,Misdemeanor,0
White,24,0,Misdemeanor,0
White,37,1,Misdemeanor,1
White,37,2,Misdemeanor,0
White,57,0,Felony,0
Other,49,3,Misdemeanor,1
Black,51,4,Misdemeanor,1
Black,31,1,Misdemeanor,0
White,43,2,Misdemeanor,0
Other,40,1,Misdemeanor,1
White,57,2,Felony,0
Black,19,1,Felony,1
Black,52,1,Misdemeanor,0
Black,48,0,Misdemeanor,0
White,62,2,Misdemeanor,0
Black,56,0,Felony,0
White,34,1,Misdemeanor,1
Other,45,1,Felony,0
Black,29,1,Felony,1
Black,57,2,Misdemeanor,0
White,51,0,Felony,1
White,26,1,Felony,1
White,27,1,Misdemeanor,1
Black,27,1,Felony,1
Black,22,3,Misdemeanor,1
White,18,2,Misdemeanor,1
White,44,1,Felony,0
Black,38,1,Misdemeanor,1
Black,38,1,Felony,1
White,54,5,Misdemeanor,1
White,34,2,Misdemeanor,0
Black,33,2,Felony,1
Black,56,4,Felony,1
White,27,1,Misdemeanor,0
White,30,1,Misdemeanor,0
White,63,2,Misdemeanor,0
White,62,3,Misdemeanor,0
Black,42,1,Misdemeanor,1
White,32,3,Misdemeanor,1
White,58,2,Misdemeanor,0
Other,43,4,Misdemeanor,1
Black,48,1,Misdemeanor,1
White,30,1,Misdemeanor,0
White,38,1,Misdemeanor,0
Black,58,2,Misdemeanor,1
Black,45,0,Felony,1
White,28,2,Felony,1
White,18,0,Misdemeanor,1
Black,57,2,Misdemeanor,1
White,40,1,Felony,0
White,37,1,Felony,0
White,46,2,Misdemeanor,0
Black,22,2,Felony,1
White,29,0,Felony,0
Black,50,2,Felony,0
White,46,3,Felony,1
Black,42,0,Misdemeanor,0
White,32,4,Felony,0
White,45,1,Felony,0
White,32,1,Misdemeanor,0
Black,25,3,Misdemeanor,1
Black,31,1,Felony,1
Black,31,2,Misdemeanor,1
White,56,2,Misdemeanor,0
White,37,2,Felony,1
Other,25,1,Misdemeanor,0
Black,57,2,Felony,1
White,18,0,Misdemeanor,0
White,55,2,Misdemeanor,0
Black,46,1,Felony,1
Black,59,3,Felony,1
Black,55,0,Misdemeanor,1
Black,58,1,Misdemeanor,0
Black,29,1,Misdemeanor,1
Black,35,1,Misdemeanor,1
White,38,0,Misdemeanor,0
Black,63,1,Misdemeanor,0
White,19,1,Misdemeanor,0
Black,31,0,Misdemeanor,1
White,57,1,Misdemeanor,0
Black,51,1,Felony,1
White,34,2,Misdemeanor,1
White,37,1,Felony,1
Black,61,4,Felony,1
Black,37,1,Felony,1
White,29,0,Misdemeanor,0
Black,39,1,Misdemeanor,1
White,39,3,Misdemeanor,1
White,58,3,Misdemeanor,0
White,21,1,Misdemeanor,1
Black,59,2,Misdemeanor,0
White,35,2,Felony,1
White,55,0,Misdemeanor,0
White,29,1,Felony,1
White,52,1,Misdemeanor,0
Other,56,3,Misdemeanor,1
White,40,3,Misdemeanor,1
White,23,3,Felony,1
White,23,2,Felony,1
White,60,3,Misdemeanor,0
Black,27,3,Felony,1
Other,28,3,Misdemeanor,1
Other,29,0,Felony,1
White,57,0,Misdemeanor,0
